lrrk2	XM_048969273.1
LOC125704253	XM_048969679.1
LOC125704253	XM_048969680.1
prmt3	XM_048969681.1
LOC125704255	XM_048969682.1
LOC125704255	XM_048969683.1
LOC125704256	XM_048969684.1
LOC125704256	XM_048969685.1
LOC125704257	XM_048969686.1
LOC125704259	XM_048969687.1
LOC125704260	XM_048969688.1
LOC125704260	XM_048969689.1
LOC125704260	XM_048969690.1
galnt11	XM_048969691.1
dbx1a	XM_048969692.1
mpped2a	XM_048969693.1
htatip2	XM_048969694.1
LOC125704264	XM_048969695.1
csrp3	XM_048969696.1
csrp3	XM_048969697.1
csrp3	XM_048969698.1
galnt11	XM_048969699.1
LOC125704266	XM_048969700.1
LOC125704266	XM_048969701.1
LOC125704267	XM_048969702.1
LOC125704268	XM_048969703.1
galnt11	XM_048969704.1
LOC125704269	XM_048969705.1
LOC125704270	XM_048969706.1
pcnt	XM_048969707.1
galnt11	XM_048969708.1
LOC125704275	XM_048969709.1
minar1	XM_048969710.1
minar1	XM_048969711.1
LOC125704279	XM_048969712.1
LOC125704281	XM_048969713.1
LOC125704282	XM_048969714.1
LOC125704283	XM_048969715.1
shox	XM_048969716.1
LOC125704284	XM_048969717.1
LOC125704285	XM_048969718.1
LOC125704285	XM_048969719.1
sh2d7	XM_048969720.1
LOC125704289	XM_048969721.1
LOC125704289	XM_048969722.1
LOC125704289	XM_048969723.1
LOC125704289	XM_048969724.1
LOC125704289	XM_048969725.1
LOC125704289	XM_048969726.1
bend7	XM_048969727.1
LOC125704289	XM_048969728.1
LOC125704289	XM_048969729.1
LOC125704289	XM_048969730.1
LOC125704289	XM_048969731.1
LOC125704289	XM_048969732.1
LOC125704289	XM_048969733.1
LOC125704289	XM_048969734.1
LOC125704292	XM_048969735.1
bend7	XM_048969736.1
LOC125704293	XM_048969737.1
LOC125704293	XM_048969738.1
LOC125704293	XM_048969739.1
LOC125704294	XM_048969740.1
brsk2b	XM_048969741.1
brsk2b	XM_048969742.1
brsk2b	XM_048969743.1
brsk2b	XM_048969744.1
brsk2b	XM_048969745.1
LOC125704297	XM_048969746.1
LOC125704298	XM_048969747.1
LOC125704296	XM_048969748.1
LOC125704298	XM_048969749.1
LOC125704299	XM_048969750.1
LOC125704299	XM_048969751.1
ptpn5	XM_048969752.1
ptpn5	XM_048969753.1
ptpn5	XM_048969754.1
ptpn5	XM_048969755.1
ptpn5	XM_048969756.1
ptpn5	XM_048969757.1
LOC125704302	XM_048969758.1
LOC125704302	XM_048969759.1
LOC125704302	XM_048969760.1
LOC125704301	XM_048969761.1
slc22a18	XM_048969762.1
LOC125704304	XM_048969763.1
LOC125704304	XM_048969764.1
LOC125704304	XM_048969765.1
LOC125704305	XM_048969766.1
LOC125704306	XM_048969767.1
LOC125704306	XM_048969768.1
LOC125704308	XM_048969769.1
LOC125704309	XM_048969770.1
gpr158a	XM_048969771.1
LOC125704310	XM_048969772.1
LOC125704310	XM_048969773.1
LOC125704311	XM_048969774.1
LOC125704312	XM_048969775.1
LOC125704312	XM_048969776.1
LOC125704313	XM_048969777.1
LOC125704314	XM_048969778.1
LOC125704314	XM_048969779.1
pcnt	XM_048969780.1
LOC125704315	XM_048969781.1
ptprja	XM_048969782.1
LOC125704318	XM_048969783.1
LOC125704318	XM_048969784.1
LOC125704318	XM_048969785.1
LOC125704347	XM_048969786.1
gba3	XM_048969787.1
LOC125704367	XM_048969788.1
ptprz1a	XM_048969789.1
lonrf1l	XM_048969790.1
lonrf1l	XM_048969791.1
LOC125704369	XM_048969792.1
LOC125704369	XM_048969793.1
LOC125704370	XM_048969794.1
LOC125704371	XM_048969795.1
LOC125704371	XM_048969796.1
LOC125704371	XM_048969797.1
ptprz1a	XM_048969798.1
LOC125704371	XM_048969799.1
LOC125704372	XM_048969800.1
LOC125704372	XM_048969801.1
LOC125704373	XM_048969802.1
rest	XM_048969803.1
rest	XM_048969804.1
ptprz1a	XM_048969805.1
noa1	XM_048969806.1
b4galt1l	XM_048969807.1
exosc3	XM_048969808.1
LOC125704378	XM_048969809.1
LOC125704378	XM_048969810.1
LOC125704378	XM_048969811.1
LOC125704378	XM_048969812.1
ptprz1a	XM_048969813.1
LOC125704379	XM_048969814.1
LOC125704379	XM_048969815.1
supt16h	XM_048969816.1
tox4b	XM_048969817.1
tox4b	XM_048969818.1
tox4b	XM_048969819.1
tox4b	XM_048969820.1
LOC125704382	XM_048969821.1
ptprz1a	XM_048969822.1
LOC125704383	XM_048969823.1
LOC125704384	XM_048969824.1
spry1	XM_048969825.1
spry1	XM_048969826.1
pcnt	XM_048969827.1
LOC125704386	XM_048969828.1
LOC125704386	XM_048969829.1
ptprz1a	XM_048969830.1
si:dkey-183c6.8	XM_048969831.1
sema4f	XM_048969832.1
sema4f	XM_048969833.1
LOC125704390	XM_048969834.1
LOC125704390	XM_048969835.1
LOC125704390	XM_048969836.1
LOC125704390	XM_048969837.1
LOC125704390	XM_048969838.1
LOC125704390	XM_048969839.1
aass	XM_048969840.1
LOC125704390	XM_048969841.1
LOC125704392	XM_048969842.1
LOC125704392	XM_048969843.1
LOC125704392	XM_048969844.1
LOC125704392	XM_048969845.1
LOC125704392	XM_048969846.1
LOC125704392	XM_048969847.1
LOC125704392	XM_048969848.1
LOC125704392	XM_048969849.1
aass	XM_048969850.1
LOC125704392	XM_048969851.1
LOC125704392	XM_048969852.1
LOC125704392	XM_048969853.1
LOC125704392	XM_048969854.1
LOC125704392	XM_048969855.1
LOC125704392	XM_048969856.1
LOC125704392	XM_048969857.1
LOC125704392	XM_048969858.1
LOC125704392	XM_048969859.1
LOC125704392	XM_048969860.1
aass	XM_048969861.1
LOC125704392	XM_048969862.1
LOC125704393	XM_048969863.1
LOC125704393	XM_048969864.1
ccdc166	XM_048969865.1
ccdc166	XM_048969866.1
LOC125704395	XM_048969867.1
si:dkey-183c6.7	XM_048969868.1
LOC125704399	XM_048969869.1
LOC125704399	XM_048969870.1
LOC125704399	XM_048969871.1
LOC125704397	XM_048969872.1
LOC125704399	XM_048969873.1
LOC125704399	XM_048969874.1
LOC125704399	XM_048969875.1
bod1l1	XM_048969876.1
bod1l1	XM_048969877.1
bod1l1	XM_048969878.1
bod1l1	XM_048969879.1
bod1l1	XM_048969880.1
LOC125704397	XM_048969881.1
LOC125704402	XM_048969882.1
LOC125704402	XM_048969883.1
LOC125704402	XM_048969884.1
LOC125704402	XM_048969885.1
nkx3-2	XM_048969886.1
rab28	XM_048969887.1
rab28	XM_048969888.1
rab28	XM_048969889.1
rell1	XM_048969890.1
LOC125704397	XM_048969891.1
zgc:194930	XM_048969892.1
zgc:194930	XM_048969893.1
zgc:194930	XM_048969894.1
zgc:194930	XM_048969895.1
zgc:194930	XM_048969896.1
LOC125704410	XM_048969897.1
LOC125704410	XM_048969898.1
LOC125704410	XM_048969899.1
LOC125704410	XM_048969900.1
LOC125704410	XM_048969901.1
arhgef39	XM_048969902.1
LOC125704410	XM_048969903.1
LOC125704410	XM_048969904.1
LOC125704410	XM_048969905.1
LOC125704410	XM_048969906.1
LOC125704410	XM_048969907.1
LOC125704410	XM_048969908.1
LOC125704410	XM_048969909.1
LOC125704410	XM_048969910.1
LOC125704410	XM_048969911.1
LOC125704410	XM_048969912.1
pcnt	XM_048969913.1
arhgef39	XM_048969914.1
LOC125704410	XM_048969915.1
LOC125704410	XM_048969916.1
LOC125704410	XM_048969917.1
LOC125704410	XM_048969918.1
LOC125704410	XM_048969919.1
LOC125704410	XM_048969920.1
LOC125704410	XM_048969921.1
LOC125704410	XM_048969922.1
LOC125704410	XM_048969923.1
LOC125704410	XM_048969924.1
LOC125704410	XM_048969925.1
LOC125704410	XM_048969926.1
LOC125704410	XM_048969927.1
LOC125704410	XM_048969928.1
LOC125704410	XM_048969929.1
LOC125704412	XM_048969930.1
LOC125704410	XM_048969931.1
LOC125704410	XM_048969932.1
LOC125704410	XM_048969933.1
LOC125704410	XM_048969934.1
LOC125704410	XM_048969935.1
arap2	XM_048969936.1
LOC125704417	XM_048969937.1
LOC125704417	XM_048969938.1
LOC125704417	XM_048969939.1
LOC125704416	XM_048969940.1
LOC125704417	XM_048969941.1
LOC125704417	XM_048969942.1
LOC125704417	XM_048969943.1
LOC125704417	XM_048969944.1
LOC125704417	XM_048969945.1
LOC125704417	XM_048969946.1
LOC125704417	XM_048969947.1
LOC125704417	XM_048969948.1
LOC125704417	XM_048969949.1
LOC125704417	XM_048969950.1
LOC125704417	XM_048969951.1
LOC125704419	XM_048969952.1
LOC125704419	XM_048969953.1
LOC125704419	XM_048969954.1
LOC125704420	XM_048969955.1
LOC125704420	XM_048969956.1
LOC125704420	XM_048969957.1
LOC125704421	XM_048969958.1
LOC125704421	XM_048969959.1
LOC125704421	XM_048969960.1
LOC125704423	XM_048969961.1
LOC125704423	XM_048969962.1
rsph1	XM_048969963.1
LOC125704423	XM_048969964.1
LOC125704423	XM_048969965.1
LOC125704423	XM_048969966.1
coro1b	XM_048969967.1
LOC125704425	XM_048969968.1
LOC125704425	XM_048969969.1
LOC125704426	XM_048969970.1
LOC125704426	XM_048969971.1
LOC125704426	XM_048969972.1
LOC125704426	XM_048969973.1
LOC125704427	XM_048969974.1
si:ch211-119e14.1	XM_048969975.1
si:ch211-119e14.1	XM_048969976.1
LOC125704429	XM_048969977.1
LOC125704427	XM_048969978.1
atrn	XM_048969979.1
LOC125704434	XM_048969980.1
LOC125704434	XM_048969981.1
LOC125704434	XM_048969982.1
LOC125704434	XM_048969983.1
LOC125704434	XM_048969984.1
LOC125704434	XM_048969985.1
LOC125704434	XM_048969986.1
LOC125704434	XM_048969987.1
LOC125704434	XM_048969988.1
LOC125704434	XM_048969989.1
LOC125704436	XM_048969990.1
LOC125704436	XM_048969991.1
atoh8	XM_048969992.1
pcnt	XM_048969993.1
LOC125704441	XM_048969994.1
LOC125704440	XM_048969995.1
LOC125704445	XM_048969996.1
LOC125704445	XM_048969997.1
LOC125704440	XM_048969998.1
LOC125704445	XM_048969999.1
LOC125704445	XM_048970000.1
LOC125704445	XM_048970001.1
LOC125704446	XM_048970002.1
LOC125704447	XM_048970003.1
LOC125704448	XM_048970004.1
LOC125704449	XM_048970005.1
LOC125704449	XM_048970006.1
intu	XM_048970007.1
intu	XM_048970008.1
gja8a	XM_048970009.1
intu	XM_048970010.1
aadat	XM_048970011.1
aadat	XM_048970012.1
aadat	XM_048970013.1
mfap3l	XM_048970014.1
ino80b	XM_048970015.1
LOC125704457	XM_048970016.1
LOC125704459	XM_048970017.1
LOC125704459	XM_048970018.1
LOC125704459	XM_048970019.1
LOC125704459	XM_048970020.1
LOC125704458	XM_048970021.1
LOC125704460	XM_048970022.1
LOC125704460	XM_048970023.1
LOC125704461	XM_048970024.1
LOC125704462	XM_048970025.1
LOC125704463	XM_048970026.1
LOC125704463	XM_048970027.1
LOC125704463	XM_048970028.1
LOC125704464	XM_048970029.1
LOC125704464	XM_048970030.1
LOC125704464	XM_048970031.1
LOC125704464	XM_048970032.1
LOC125704464	XM_048970033.1
LOC125704464	XM_048970034.1
usp9	XM_048970035.1
LOC125704464	XM_048970036.1
LOC125704466	XM_048970037.1
LOC125704467	XM_048970038.1
LOC125704467	XM_048970039.1
LOC125704468	XM_048970040.1
LOC125704469	XM_048970041.1
LOC125704469	XM_048970042.1
guf1	XM_048970043.1
usp9	XM_048970044.1
LOC125704471	XM_048970045.1
LOC125704471	XM_048970046.1
gnpda2	XM_048970047.1
gnpda2	XM_048970048.1
LOC125704474	XM_048970049.1
LOC125704474	XM_048970050.1
LOC125704475	XM_048970051.1
usp9	XM_048970052.1
LOC125704475	XM_048970053.1
cfi	XM_048970054.1
LOC125704477	XM_048970055.1
LOC125704478	XM_048970056.1
LOC125704479	XM_048970057.1
LOC125704479	XM_048970058.1
LOC125704479	XM_048970059.1
usp9	XM_048970060.1
ube2ka	XM_048970061.1
ube2ka	XM_048970062.1
ube2ka	XM_048970063.1
LOC125704481	XM_048970064.1
ddx58	XM_048970065.1
ddx58	XM_048970066.1
LOC125704483	XM_048970067.1
LOC125704483	XM_048970068.1
pcnt	XM_048970069.1
usp9	XM_048970070.1
LOC125704484	XM_048970071.1
LOC125704484	XM_048970072.1
LOC125704485	XM_048970073.1
LOC125704486	XM_048970074.1
LOC125704488	XM_048970075.1
focad	XM_048970076.1
usp9	XM_048970077.1
focad	XM_048970078.1
focad	XM_048970079.1
focad	XM_048970080.1
focad	XM_048970081.1
focad	XM_048970082.1
focad	XM_048970083.1
focad	XM_048970084.1
focad	XM_048970085.1
mllt3	XM_048970086.1
mllt3	XM_048970087.1
mllt3	XM_048970088.1
hacd4	XM_048970089.1
LOC125704492	XM_048970090.1
ablim2	XM_048970091.1
ablim2	XM_048970092.1
LOC125704495	XM_048970093.1
LOC125704495	XM_048970094.1
LOC125704495	XM_048970095.1
LOC125704495	XM_048970096.1
LOC125704492	XM_048970097.1
LOC125704495	XM_048970098.1
LOC125704495	XM_048970099.1
LOC125704495	XM_048970100.1
LOC125704496	XM_048970101.1
LOC125704496	XM_048970102.1
LOC125704496	XM_048970103.1
LOC125704496	XM_048970104.1
LOC125704496	XM_048970105.1
LOC125704496	XM_048970106.1
LOC125704496	XM_048970107.1
LOC125704496	XM_048970108.1
LOC125704496	XM_048970109.1
LOC125704498	XM_048970110.1
LOC125704497	XM_048970111.1
LOC125704499	XM_048970112.1
LOC125704500	XM_048970113.1
LOC125704500	XM_048970114.1
LOC125704500	XM_048970115.1
LOC125704500	XM_048970116.1
LOC125704500	XM_048970117.1
casq1b	XM_048970118.1
casq1b	XM_048970119.1
LOC125704502	XM_048970120.1
LOC125704497	XM_048970121.1
LOC125704503	XM_048970122.1
LOC125704504	XM_048970123.1
LOC125704505	XM_048970124.1
LOC125704506	XM_048970125.1
zgc:92594	XM_048970126.1
LOC125704509	XM_048970127.1
LOC125704509	XM_048970128.1
LOC125704510	XM_048970129.1
eea1	XM_048970130.1
LOC125704511	XM_048970131.1
LOC125704512	XM_048970132.1
LOC125704512	XM_048970133.1
LOC125704512	XM_048970134.1
LOC125704512	XM_048970135.1
LOC125704512	XM_048970136.1
LOC125704513	XM_048970137.1
LOC125704514	XM_048970138.1
LOC125704514	XM_048970139.1
eea1	XM_048970140.1
LOC125704514	XM_048970141.1
LOC125704514	XM_048970142.1
LOC125704515	XM_048970143.1
LOC125704515	XM_048970144.1
LOC125704515	XM_048970145.1
LOC125704515	XM_048970146.1
LOC125704515	XM_048970147.1
LOC125704515	XM_048970148.1
LOC125704515	XM_048970149.1
LOC125704517	XM_048970150.1
LOC125704518	XM_048970151.1
LOC125704519	XM_048970152.1
pcnt	XM_048970153.1
plekhg7	XM_048970154.1
LOC125704520	XM_048970155.1
LOC125704520	XM_048970156.1
LOC125704520	XM_048970157.1
LOC125704520	XM_048970158.1
LOC125704520	XM_048970159.1
LOC125704520	XM_048970160.1
LOC125704520	XM_048970161.1
LOC125704520	XM_048970162.1
LOC125704520	XM_048970163.1
LOC125704520	XM_048970164.1
plekhg7	XM_048970165.1
LOC125704520	XM_048970166.1
LOC125704521	XM_048970167.1
LOC125704521	XM_048970168.1
plekhg7	XM_048970169.1
pde5ab	XM_048970170.1
pde5ab	XM_048970171.1
pde5ab	XM_048970172.1
arsj	XM_048970173.1
arsj	XM_048970174.1
zcchc4	XM_048970175.1
plekhg7	XM_048970176.1
si:dkey-219e21.4	XM_048970177.1
mad2l1	XM_048970178.1
LOC125704533	XM_048970179.1
